Algorithm,Dataset,HammingLoss,Desv1,Accuracy,Desv2,Precision,Desv3,Recall,Desv4,FMeasure,Desv5,SubsetAccuracy,Desv6,MacroFMeasure,Desv7,MacroPrecision,Desv8,MacroRecall,Desv9,MicroFMeasure,Desv10,MicroPrecision,Desv11,MicroRecall,Desv12,OneError,Desv13,Coverage,Desv14,RankingLoss,Desv15,AveragePrecision,Desv16
LP-J48,Corel16k001-5x2x1,0.0320,0.0001,0.0879,0.0036,0.1340,0.0060,0.1262,0.0050,0.4565,0.0041,0.0197,0.0010,0.0932,0.0043,0.0508,0.0033,0.0499,0.0035,0.1252,0.0053,0.1281,0.0057,0.1225,0.0050,0.9704,0.0051,109.3766,0.7838,0.4667,0.0066,0.0651,0.0034
LP-J48,Corel16k001-5x2x2,0.0322,0.0001,0.0841,0.0015,0.1287,0.0022,0.1215,0.0025,0.4554,0.0055,0.0175,0.0020,0.0919,0.0055,0.0473,0.0031,0.0484,0.0035,0.1208,0.0009,0.1231,0.0011,0.1185,0.0009,0.9725,0.0043,109.0970,0.8464,0.4662,0.0043,0.0636,0.0024
LP-J48,LLOG-F-5x2x1,0.0314,0.0006,0.1314,0.0123,0.1580,0.0154,0.1530,0.0136,0.7796,0.0135,0.0894,0.0084,0.2304,0.0299,0.0748,0.0170,0.0779,0.0171,0.1425,0.0137,0.1428,0.0135,0.1424,0.0142,0.8739,0.0131,42.5625,0.7960,0.5137,0.0090,0.1471,0.0108
LP-J48,LLOG-F-5x2x2,0.0314,0.0012,0.1230,0.0101,0.1526,0.0126,0.1365,0.0103,0.7828,0.0150,0.0886,0.0063,0.2117,0.0181,0.0634,0.0109,0.0593,0.0121,0.1325,0.0148,0.1340,0.0140,0.1311,0.0158,0.8810,0.0178,42.6576,1.8313,0.5138,0.0199,0.1391,0.0142
LP-J48,medical-5x2x1,0.0140,0.0019,0.7264,0.0430,0.7774,0.0397,0.7530,0.0397,0.9294,0.0148,0.6492,0.0531,0.7555,0.0351,0.5943,0.0429,0.4832,0.0464,0.7428,0.0365,0.7574,0.0378,0.7288,0.0355,0.2393,0.0404,7.8901,0.9477,0.1428,0.0203,0.7433,0.0361
LP-J48,medical-5x2x2,0.0133,0.0012,0.7383,0.0163,0.7863,0.0110,0.7571,0.0186,0.9399,0.0075,0.6707,0.0240,0.7782,0.0324,0.6228,0.0611,0.5044,0.0401,0.7530,0.0206,0.7738,0.0157,0.7336,0.0290,0.2423,0.0155,7.8626,0.7310,0.1412,0.0100,0.7424,0.0133
LP-J48,SLASHDOT-F-5x2x1,0.0547,0.0024,0.4604,0.0174,0.5061,0.0221,0.4749,0.0191,0.9186,0.0068,0.4030,0.0120,0.4140,0.0145,0.3726,0.0307,0.3193,0.0144,0.4689,0.0223,0.4907,0.0232,0.4489,0.0217,0.5143,0.0167,6.3601,0.0317,0.2652,0.0032,0.5368,0.0091
LP-J48,SLASHDOT-F-5x2x2,0.0560,0.0009,0.4501,0.0086,0.4962,0.0100,0.4655,0.0117,0.9139,0.0056,0.3913,0.0060,0.3900,0.0145,0.3706,0.0266,0.3259,0.0246,0.4589,0.0112,0.4776,0.0135,0.4417,0.0106,0.5193,0.0079,6.2409,0.1932,0.2601,0.0096,0.5332,0.0081
RAkEL-BR,Corel16k001-5x2x1,0.0197,0.0001,0.0655,0.0020,0.3570,0.0097,0.0725,0.0016,0.5233,0.0047,0.0086,0.0010,0.1236,0.0103,0.3303,0.0361,0.0199,0.0014,0.1156,0.0040,0.3569,0.0108,0.0690,0.0026,0.8471,0.0075,102.6819,0.5531,0.4159,0.0040,0.1141,0.0027
RAkEL-BR,Corel16k001-5x2x2,0.0198,0.0001,0.0635,0.0013,0.3465,0.0033,0.0699,0.0021,0.5221,0.0062,0.0074,0.0008,0.1318,0.0127,0.3114,0.0430,0.0200,0.0015,0.1134,0.0018,0.3504,0.0085,0.0677,0.0012,0.8504,0.0044,102.6711,0.4976,0.4161,0.0010,0.1120,0.0010
